room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
13507479,1454,14414211,Entire home/apt,,Belgium,Antwerpen,Antwerpen,4,5.0,2,1.0,,53.0,,One bedroom apartment in residential area.,2017-07-14 17:16:57.695912,51.201049,4.400939,0101000020E610000087C3D2C08F9A11405EF23FF9BB994940
10172878,1454,7980790,Entire home/apt,,Belgium,Antwerpen,Antwerpen,16,5.0,4,1.0,,57.0,,Arty Penthouse Great View & Terrace,2017-07-14 17:16:57.692998,51.21007,4.43047,0101000020E6100000F0A2AF20CDB8114074EFE192E39A4940
17773685,1454,121344617,Entire home/apt,,Belgium,Antwerpen,Antwerpen,12,4.0,9,1.0,,42.0,,Charming Duplex Apartment Central Antwerp,2017-07-14 17:16:52.933613,51.223278,4.403241,0101000020E610000017A06D35EB9C114049F59D5F949C4940
13008365,1454,38262140,Entire home/apt,,Belgium,Antwerpen,Zandhoven,8,5.0,2,1.0,,47.0,,BED & BOOKS & BATH (& BREAKFAST & BBQ),2017-07-14 17:16:38.741619,51.228304,4.691633,0101000020E61000006556EF703BC41240E3C5C210399D4940
11054750,1454,20925202,Entire home/apt,,Belgium,Antwerpen,Antwerpen,17,4.5,4,1.0,,53.0,,Cosy and light apartment in BoHo,2017-07-14 17:16:38.739154,51.216828,4.431432,0101000020E61000009FCA694FC9B91140B56D1805C19B4940
10982746,1454,56981753,Entire home/apt,,Belgium,Antwerpen,Antwerpen,15,4.0,4,1.0,,53.0,,Clean appartment in the Zurenborg,2017-07-14 17:16:38.726142,51.204933,4.434768,0101000020E6100000AA6395D233BD1140826F9A3E3B9A4940
9491253,1454,2672823,Entire home/apt,,Belgium,Antwerpen,Antwerpen,21,4.5,3,2.0,,58.0,,Cosy Home with Secret Garden,2017-07-14 17:16:38.720140,51.197686,4.426037,0101000020E6100000378B170B43B4114043705CC64D994940
539617,1454,2620317,Entire home/apt,,Belgium,Antwerpen,Antwerpen,4,5.0,3,2.0,,58.0,,Hidden Oasis in an undiscovered area,2017-07-14 17:16:38.711286,51.196163,4.425476,0101000020E61000007CEE04FBAFB31140B6D782DE1B994940
13987343,1454,73201066,Entire home/apt,,Belgium,Antwerpen,Mortsel,0,0.0,4,2.0,,47.0,,Gezellig huisje met twee slaapkamers,2017-07-14 17:16:38.703828,51.173226,4.439789,0101000020E6100000EB8F300C58C21140906802452C964940
18743373,1454,79510923,Entire home/apt,,Belgium,Antwerpen,Antwerpen,2,0.0,2,1.0,,53.0,,Cosy and full of light duplex - Central Station,2017-07-14 17:16:33.273531,51.211348,4.424053,0101000020E61000002F151BF33AB211409A0986730D9B4940
4014862,1454,20816746,Entire home/apt,,Belgium,Turnhout,Geel,5,4.5,2,1.0,,46.0,,centraal gelegen modern appartement,2017-07-14 17:16:33.268641,51.162486,4.98844,0101000020E6100000A33B889D29F4134068075C57CC944940
9750469,1454,11633503,Entire home/apt,,Belgium,Antwerpen,Antwerpen,0,0.0,2,1.0,,46.0,,Mooi appartement in Deurne,2017-07-14 17:16:33.263485,51.227726,4.469637,0101000020E610000059F78F85E8E0114075392520269D4940
15787742,1454,12541213,Entire home/apt,,Belgium,Antwerpen,Antwerpen,1,0.0,2,0.0,,48.0,,Studio with own kitchen+bathroom in student house,2017-07-14 17:16:33.259051,51.22493,4.437911,0101000020E6100000103CBEBD6BC01140D4F19881CA9C4940
2086302,1454,4218557,Entire home/apt,,Belgium,Antwerpen,Antwerpen,11,4.5,2,1.0,,53.0,,Cozy apartment in Antwerp-Berchem,2017-07-14 17:16:33.255829,51.195804,4.439195,0101000020E610000052448655BCC111408736001B10994940
14821091,1454,6259202,Entire home/apt,,Belgium,Antwerpen,Antwerpen,0,0.0,4,1.0,,59.0,,Cosy apartment near Berchem Station.,2017-07-14 17:16:33.251569,51.191157,4.434127,0101000020E61000000C3ECDC98BBC114063B323D577984940
5972350,1454,29492834,Entire home/apt,,Belgium,Antwerpen,Antwerpen,14,4.5,3,0.0,,53.0,,Cozy Studio,2017-07-14 17:16:33.248231,51.215803,4.443139,0101000020E61000001E54E23AC6C5114079B0C56E9F9B4940
15657753,1454,13033912,Entire home/apt,,Belgium,Antwerpen,Antwerpen,10,5.0,7,3.0,,57.0,,"Cosy, big and light house with garage and bicycles",2017-07-14 17:16:33.242754,51.221776,4.434833,0101000020E6100000E3E2A8DC44BD1140D384ED27639C4940
19602932,1454,47536000,Entire home/apt,,Belgium,Antwerpen,Antwerpen,0,0.0,3,2.0,,59.0,,Spacious 1st floor appartment close to city center,2017-07-14 17:16:33.240252,51.210967,4.450215,0101000020E6100000B0AC342905CD114082C476F7009B4940
5646286,1454,4715596,Entire home/apt,,Belgium,Antwerpen,Antwerpen,10,4.5,2,1.0,,58.0,,NESTT,2017-07-14 17:16:33.235086,51.214635,4.43711,0101000020E6100000AB048BC399BF1140DAC9E028799B4940
